hub,model_name,model_repo_id,model_url,model_description,model_path,model_type,issue_index,severity,category,op_name,node_name,indicator,details
huggingface-local-cache,4ur0n__tensorflow-savedmodel-path-traversal-poc,4ur0n/tensorflow-savedmodel-path-traversal-poc,https://huggingface.co/4ur0n/tensorflow-savedmodel-path-traversal-poc,Local cached model from previous hub collection.,TensorDetect/demo_models_50/4ur0n__tensorflow-savedmodel-path-traversal-poc,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,Dimitre__bert_en_cased_L-12_H-768_A-12,Dimitre/bert_en_cased_L-12_H-768_A-12,https://huggingface.co/Dimitre/bert_en_cased_L-12_H-768_A-12,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Dimitre__bert_en_cased_L-12_H-768_A-12,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,Dimitre__bert_en_cased_preprocess,Dimitre/bert_en_cased_preprocess,https://huggingface.co/Dimitre/bert_en_cased_preprocess,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Dimitre__bert_en_cased_preprocess,Tensorflow saved model,1,mid,Tensor abuse,InitializeTableFromTextFileV2,text_file_init/InitializeTableFromTextFileV2,,"Tensorabuse op detected in saved model, op: {'name': 'text_file_init/InitializeTableFromTextFileV2', 'op': 'InitializeTableFromTextFileV2', 'info': {'name': 'text_file_init/InitializeTableFromTextFileV2', 'op': 'InitializeTableFromTextFileV2', 'input': ['text_file_init_initializetablefromtextfilev2_table_handle', 'text_file_init_asset_filepath'], 'attr': {'_output_shapes': {'list': {}}, 'value_index': {'i': '-1'}, 'key_index': {'i': '-2'}}, 'experimentalDebugInfo': {'originalNodeNames': ['text_file_init/InitializeTableFromTextFileV2']}}};"
huggingface-local-cache,Dimitre__bert_en_cased_preprocess,Dimitre/bert_en_cased_preprocess,https://huggingface.co/Dimitre/bert_en_cased_preprocess,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Dimitre__bert_en_cased_preprocess,Tensorflow saved model,2,mid,Tensor abuse,InitializeTableFromTextFileV2,text_file_init/InitializeTableFromTextFileV2,,"Tensorabuse op detected in saved model, op: {'name': 'text_file_init/InitializeTableFromTextFileV2', 'op': 'InitializeTableFromTextFileV2', 'info': {'name': 'text_file_init/InitializeTableFromTextFileV2', 'op': 'InitializeTableFromTextFileV2', 'input': ['text_file_init_initializetablefromtextfilev2_table_handle', 'text_file_init_asset_filepath'], 'attr': {'_output_shapes': {'list': {}}, 'value_index': {'i': '-1'}, 'key_index': {'i': '-2'}}, 'experimentalDebugInfo': {'originalNodeNames': ['text_file_init/InitializeTableFromTextFileV2']}}};"
huggingface-local-cache,Dimitre__mobilenet_v3_small,Dimitre/mobilenet_v3_small,https://huggingface.co/Dimitre/mobilenet_v3_small,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Dimitre__mobilenet_v3_small,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,Dimitre__universal-sentence-encoder,Dimitre/universal-sentence-encoder,https://huggingface.co/Dimitre/universal-sentence-encoder,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Dimitre__universal-sentence-encoder,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,Khauneesh__tiny-tf-savedmodel,Khauneesh/tiny-tf-savedmodel,https://huggingface.co/Khauneesh/tiny-tf-savedmodel,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Khauneesh__tiny-tf-savedmodel,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,MarilineDelgado__capsteg,MarilineDelgado/capsteg,https://huggingface.co/MarilineDelgado/capsteg,Local cached model from previous hub collection.,TensorDetect/demo_models_50/MarilineDelgado__capsteg,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,MarilineDelgado__kansteg,MarilineDelgado/kansteg,https://huggingface.co/MarilineDelgado/kansteg,Local cached model from previous hub collection.,TensorDetect/demo_models_50/MarilineDelgado__kansteg,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,MarilineDelgado__r-sit,MarilineDelgado/r-sit,https://huggingface.co/MarilineDelgado/r-sit,Local cached model from previous hub collection.,TensorDetect/demo_models_50/MarilineDelgado__r-sit,Tensorflow saved model,,none,none,,,,No issues detected
